Name,Time,Artist,Album,Genre,Plays,Skips,Date Added,
I Won't Give Up,4:08,Jason Mraz,Love is a Four Letter Word,Folk,4,2,"11/7/20, 10:52 AM","11/24/20, 8:50 PM"
When I Was Your Man,3:34,Bruno Mars,Unorthodox Jukebox,Easy Listening,2,2,"10/26/20, 10:42 PM","10/27/20, 8:22 PM"
Juke Jam ft. Justin Bieber & Towkio,3:40,Chance the Rapper,Coloring Book,Hip Hop/Rap,,1,"10/26/20, 10:41 PM",
Mr. Right Now,3:14,21 Savage & Metro Boomin,SAVAGE MODE II,Hip Hop/Rap,8,3,"10/26/20, 10:41 PM","12/17/20, 11:51 AM"
distance,3:01,Ruel,"Bright Lights, Red Eyes",Pop,3,5,"10/26/20, 10:40 PM","12/1/20, 5:44 PM"
Girl With The Tattoo Enter.lewd,1:44,Miguel,All I Want Is You,R&B,4,2,"10/26/20, 10:39 PM","12/17/20, 5:56 PM"
Electric Love,3:41,BØRNS,Dopamine,Indie,7,,"10/26/20, 10:39 PM","11/25/20, 9:46 AM"
The Two of Us,2:34,Omar Apollo,Apolonio,Alternative,14,,"10/17/20, 12:58 PM","12/16/20, 10:11 PM"
Want U Around ft. Ruel,4:08,Omar Apollo,Apolonio,Alternative,2,3,"10/17/20, 12:58 PM","10/28/20, 6:36 PM"
I'm Amazing,2:25,Omar Apollo,Apolonio,Alternative,4,2,"10/17/20, 12:57 PM","11/24/20, 6:27 PM"
Sofia,3:09,Clairo,Immunity,Alternative,5,1,"10/17/20, 12:56 PM","11/21/20, 6:04 PM"
Rags 2 Riches ft. Lil Baby,3:52,Rod Wave,Pray 4 Love,Hip Hop/Rap,4,2,"10/17/20, 12:56 PM","11/29/20, 1:42 AM"
Stars In The Sky ft. Jhené Aiko,4:13,Phora,Stars In The Sky (feat. Jhené Aiko) - Single,R&B,10,1,"10/17/20, 12:56 PM","1/8/21, 11:46 PM"
Something Special,2:39,Pop Smoke,Shoot for the Stars Aim for the Moon,Hip Hop/Rap,2,3,"10/17/20, 12:54 PM","11/29/20, 1:53 AM"
What You Know Bout Love,2:40,Pop Smoke,Shoot for the Stars Aim for the Moon,Hip Hop/Rap,1,2,"10/17/20, 12:54 PM","11/29/20, 1:56 AM"
Martin & Gina,2:14,Polo G,THE GOAT,Hip Hop/Rap,4,1,"10/17/20, 12:53 PM","11/17/20, 10:38 PM"
as long as you care,3:13,Ruel,as long as you care - Single,Pop,8,,"10/17/20, 12:53 PM","12/17/20, 11:21 AM"
Ego (Remix) ft. Kanye West,4:52,Beyonce,I am... Sasha Fierce,Hip Hop/Rap,2,3,"10/17/20, 12:53 PM","11/15/20, 1:05 PM"
The Sign,3:11,Ace of Base,Greatest Hits,Pop,2,1,"10/17/20, 12:52 PM","12/16/20, 2:51 PM"
Pure Imagination,1:23,Angelo Javier,,Easy Listening,3,3,"10/17/20, 12:48 PM","11/28/20, 7:01 PM"
Don't Let Me Be Misunderstood,3:25,Santa Esmerelda,"Kill Bill, Vol. 1 (Original Soundtrack)",Instrumental,2,5,"10/8/20, 12:18 PM","10/11/20, 1:12 PM"
Back To You,3:30,Selena Gomez,13 Reasons Why: Season 2 (Music from the TV Series),Pop,1,,"9/21/20, 10:03 AM","9/22/20, 5:35 PM"
Because I Got High,3:19,Afroman,The Good Times,Hip Hop/Rap,2,,"9/21/20, 10:03 AM","12/2/20, 9:31 AM"
Ignition (Remix),3:06,R. Kelly,Chocolate Factory,R&B,3,1,"9/21/20, 10:03 AM","11/8/20, 1:23 AM"
29 #Strafford APTS,4:05,Bon Iver,"22, A Million",Folk,15,1,"9/12/20, 11:01 PM","11/6/20, 10:35 PM"
Holocene,5:37,Bon Iver,Bon Iver,Folk,10,1,"9/12/20, 11:00 PM","12/10/20, 11:12 PM"
Flume,3:39,Bon Iver,"For Emma, Forever Ago",Folk,9,3,"9/12/20, 10:59 PM","1/8/21, 11:29 PM"
Beach Baby,2:40,Bon Iver,Blood Bank,Folk,6,1,"9/12/20, 10:58 PM","11/5/20, 5:41 PM"
Drift,3:35,Choker,Honeybloom,Alternative,3,1,"9/12/20, 10:57 PM","10/28/20, 4:50 PM"
Windbreaker,2:50,Choker,Honeybloom,Alternative,3,1,"9/12/20, 10:56 PM","10/12/20, 5:05 AM"
Juno,3:52,Choker,Honeybloom,Alternative,4,6,"9/12/20, 10:56 PM","11/24/20, 11:18 PM"
Deep End Freestyle,1:56,Sleepy Hallow,Sleepy Hallow Presents: Sleepy for President,Hip Hop/Rap,2,4,"9/12/20, 10:56 PM","10/29/20, 7:49 PM"
Sunday Morning,4:06,Maroon 5,Songs About Jane,Pop,12,2,"9/12/20, 10:56 PM","12/4/20, 12:26 AM"
ROCKSTAR ft. Roddy Ricch,3:02,Dababy,Blame it on Baby,Hip Hop/Rap,4,4,"9/12/20, 10:55 PM","9/28/20, 6:30 PM"
Shut Up and Dance,3:19,Walk The Moon,Talking is Hard,Pop,3,4,"9/12/20, 10:54 PM","12/8/20, 10:52 AM"
Vanilla,4:10,Flipturn,Heavy Colors - EP,Indie,5,3,"8/30/20, 12:40 PM","12/4/20, 11:02 PM"
I Gotta Feeling,4:49,Black Eyed Peas,The E.N.D. (Energy Never Dies),Pop,7,2,"8/30/20, 12:39 PM","11/13/20, 9:38 PM"
Backwards,2:53,Forrest.,Effortless,Pop,6,5,"8/30/20, 12:38 PM","12/13/20, 4:21 PM"
No Hands,4:23,Waka Flocka Flame,No Hands (feat. Roscoe Dash and Wale) - Single,Hip Hop/Rap,2,2,"8/30/20, 12:37 PM","11/25/20, 1:29 PM"
"You Stay ft. Meek Mill, J Balvin, Lil Baby, Jeremih",4:37,DJ Khaled,Father of Asahd,Hip Hop/Rap,14,3,"8/30/20, 12:37 PM","12/4/20, 9:33 AM"
Laugh Now Cry Later ft. Lil Durk,4:22,Drake,Laugh Now Cry Later (feat. Lil Durk) - Single,Hip Hop/Rap,9,3,"8/30/20, 12:36 PM","11/29/20, 1:47 AM"
Tip Toe,3:01,Sheff G & Sleepy Hallow,Tip Toe - Single,Hip Hop/Rap,6,4,"8/30/20, 12:35 PM","11/29/20, 1:38 AM"
Flash,3:28,Ryan Beatty,Boy in Jeans,Alternative,2,6,"8/30/20, 12:35 PM","10/31/20, 3:54 PM"
Stuck in The Middle,3:16,Tai Verdes,Stuck in The Middle - Single,Pop,6,2,"8/30/20, 12:34 PM","11/11/20, 2:13 PM"
Savage Love ft. Jason Derulo,2:51,Savage Love,Savage Love - Single,Pop,14,3,"8/30/20, 12:31 PM","12/17/20, 9:58 AM"
Tell Me That You Love Me,2:34,Victorious Cast,Victorious (Music from the Hit TV Show),Easy Listening,10,,"8/30/20, 12:30 PM","11/29/20, 6:09 PM"
Missin You Crazy,3:48,Russ,Zoo,R&B,31,4,"8/9/20, 1:29 PM","12/15/20, 7:34 PM"
Stayback,2:40,Omar Apollo,Stayback - Single,R&B,2,3,"8/9/20, 1:28 PM","11/4/20, 6:02 PM"
Cancel Me,2:17,Dominic Fike,What Could Possibly Go Wrong,Alternative,9,1,"8/9/20, 1:28 PM","10/18/20, 8:14 PM"
I Swear,4:20,All-4-One,All-4-One,Easy Listening,5,1,"8/9/20, 1:27 PM","11/3/20, 6:03 PM"
Santeria,3:03,Sublime,Sublime,Rock,27,1,"8/9/20, 1:27 PM","12/12/20, 3:17 PM"
Florida,3:49,Dominic Fike,What Could Possibly Go Wrong,Alternative,2,3,"8/9/20, 1:26 PM","10/18/20, 8:18 PM"
Vampire,3:07,Dominic Fike,What Could Possibly Go Wrong,Alternative,3,2,"8/9/20, 1:26 PM","12/16/20, 2:48 PM"
Why,2:21,Dominic Fike,What Could Possibly Go Wrong,Alternative,5,3,"8/9/20, 1:26 PM","11/13/20, 12:45 PM"
Good Game,2:29,Dominic Fike,What Could Possibly Go Wrong,Alternative,3,1,"8/9/20, 1:25 PM","12/3/20, 9:36 AM"
Intentions ft. Quavo,3:33,Justin Bieber,Changes,Pop,11,2,"8/9/20, 1:24 PM","10/16/20, 11:43 AM"
A Waltz for a Night,2:55,Julie Delpy,Julie Delpy,Folk,11,3,"8/9/20, 1:24 PM","11/14/20, 12:48 AM"
Roses,3:23,Col3trane,BOOT,Alternative,3,5,"8/9/20, 1:23 PM","11/8/20, 1:32 AM"
Love,4:15,Keyshia Cole,The Way It Is,R&B,1,3,"8/9/20, 1:22 PM","8/22/20, 10:49 AM"
Heavy,4:19,The Backseat Lovers,Heavy - Single,Indie,4,3,"8/9/20, 1:21 PM","9/14/20, 5:06 PM"
Strangers,3:13,Mt. Joy,Rearrange Us,Indie,15,3,"8/9/20, 1:18 PM","12/15/20, 8:16 PM"
Stand By Me,3:26,Prince Royce,Prince Royce,Bachata,8,3,"8/9/20, 1:18 PM","11/19/20, 10:17 AM"
Damn It Feels Good to Be a Gangsta,5:11,Geto Boys,The Best of Geto Boys,Rap,7,3,"8/9/20, 1:17 PM","10/22/20, 9:10 PM"
Freakin' Out On the Interstate,4:12,Briston Maroney,Carnival - EP,Indie,5,2,"8/9/20, 1:14 PM","10/23/20, 12:25 PM"
Daylight,2:57,Kota the Friend,Anything.,Hip Hop/Rap,13,3,"8/9/20, 1:14 PM","12/5/20, 2:40 PM"
My Religion,3:21,Two Another,My Religion - Single,Pop,5,2,"8/9/20, 1:13 PM","12/10/20, 10:21 AM"
Burned By The Love,3:16,Juke Ross,Chapter 2,Folk,3,2,"6/24/20, 12:41 PM","11/14/20, 12:37 AM"
Sunday Best,2:39,Surfaces,Where The Light Is,Pop,5,4,"6/24/20, 12:27 PM","9/21/20, 12:31 PM"
Post Malone,2:54,Sam Feldt,Magnets - EP,Dance,4,5,"6/24/20, 12:26 PM","12/10/20, 9:57 AM"
Face to Face,3:23,Ruel,Free Time,Pop,23,2,"6/24/20, 12:25 PM","12/15/20, 2:13 PM"
Painkiller,3:34,Ruel,Free Time,Pop,6,2,"6/24/20, 12:24 PM","12/15/20, 2:09 PM"
Dazed & Confused,3:11,Ruel,Dazed & Confused - Single,Pop,10,,"6/24/20, 12:24 PM","12/2/20, 8:02 PM"
Younger,3:44,Ruel,Ready - EP,Pop,5,3,"6/24/20, 12:23 PM","11/15/20, 11:41 AM"
Free Time,3:36,Ruel,Free Time,Pop,16,1,"6/24/20, 12:11 PM","12/16/20, 3:29 PM"
"When Boys Cry, It Pours",3:41,Juke Ross,Chapter 2,Folk,4,1,"6/24/20, 12:10 PM","10/23/20, 11:31 PM"
Achey Bones,3:21,The Happy Fits,Achey Bones - Single,Indie,2,2,"6/24/20, 12:09 PM","11/1/20, 11:30 AM"
Best Tears,2:44,The Happy Fits,Concentrate,Indie,9,4,"6/18/20, 9:19 PM","10/6/20, 5:47 PM"
"So Alright, Cool, Whatever",3:11,The Happy Fits,Concentrate,Indie,4,4,"6/18/20, 9:19 PM","11/4/20, 6:39 PM"
Too Late,3:21,The Happy Fits,Awfully Apeelin',Indie,15,4,"6/18/20, 9:19 PM","12/3/20, 11:53 AM"
Elise,4:15,The Greeting Committee,Elise - Single,Indie,7,6,"6/18/20, 9:18 PM","10/18/20, 7:13 PM"
Hands Down,4:12,The Greeting Committee,It's Not All That Bad,Indie,6,3,"6/18/20, 9:18 PM","10/30/20, 10:52 PM"
Caroline,3:25,Briston Maroney,Carnival - EP,Indie,6,2,"6/18/20, 9:17 PM","11/3/20, 3:59 PM"
Sinking Ship,5:08,The Backseat Lovers,When We Were Friends,Indie,4,4,"6/18/20, 9:17 PM","12/13/20, 6:01 PM"
Pool House,4:30,The Backseat Lovers,When We Were Friends,Indie,7,1,"6/18/20, 9:16 PM","11/26/20, 12:51 AM"
Kilby Girl,4:42,The Backseat Lovers,When We Were Friends,Indie,7,1,"6/18/20, 9:16 PM","10/18/20, 6:53 PM"
Instead of My Room,3:18,Charlie Burg,Live in Peter's Attic - EP,Alternative,3,4,"6/18/20, 9:16 PM","10/17/20, 6:38 PM"
Learn To Fly,3:30,Surfaces & Elton John,Learn To Fly - Single,Pop,3,5,"6/18/20, 9:14 PM","12/15/20, 5:16 PM"
Need me,2:36,J.I. The Prince of N.Y.,"Hood Life Krisis, Vol. 1",Hip Hop/Rap,6,4,"6/18/20, 9:12 PM","11/29/20, 2:03 AM"
June,2:31,Charlie Burg,"Two, Moonlight",Alternative,16,2,"6/18/20, 9:11 PM","1/8/21, 11:37 PM"
I Don't Wanna Be Okay Without You,4:04,Charlie Burg,Live in Peter's Attic - EP,Alternative,5,5,"6/18/20, 9:11 PM","10/31/20, 8:20 PM"
Lovesong (The Way) ft. Bluets,4:00,Charlie Burg,"One, Violet",Alternative,1,5,"6/18/20, 9:11 PM","9/25/20, 4:13 PM"
To Let A Good Thing Die,2:15,Bruno Major,To Let a Good Thing Die,Easy Listening,2,4,"6/18/20, 9:10 PM","10/12/20, 6:23 AM"
Regent's Park,2:57,Bruno Major,To Let a Good Thing Die,Easy Listening,1,4,"6/18/20, 9:10 PM","8/18/20, 12:13 AM"
This Is America,3:46,Childish Gambino,This Is America - Single,Hip Hop/Rap,4,2,"6/18/20, 9:09 PM","11/3/20, 6:19 PM"
Buddy Holly,2:40,Weezer,Weezer,Rock,6,7,"6/4/20, 10:34 AM","10/12/20, 5:55 AM"
alley-oop,2:54,Dijon,How Do You Feel About Getting Married,R&B,1,7,"6/4/20, 9:15 AM","12/12/20, 4:15 PM"
rock n roll,2:23,Dijon,How Do You Feel About Getting Married,R&B,10,,"6/4/20, 9:15 AM","11/13/20, 8:46 PM"
You and Me,2:41,Penny & The Quarters,Penny & The Quarters EP,Oldie',12,3,"6/4/20, 9:14 AM","1/9/21, 12:29 AM"
Girls Like You ft. Cardi B,3:54,Maroon 5,Girls Like You (feat. Cardi B) - Single,Pop,12,3,"6/4/20, 9:12 AM","11/20/20, 10:27 AM"
History,3:08,One Direction,Made in The A.M.,Pop,26,3,"6/4/20, 9:11 AM","12/16/20, 3:37 PM"
Boyfriend,3:21,Big Time Rush,BTR,Pop,5,6,"6/4/20, 9:11 AM","11/19/20, 9:09 PM"
WILD,3:15,Dijon,WILD - Single,R&B,6,1,"6/4/20, 9:10 AM","11/17/20, 8:53 PM"
Figment Of My Mind,3:38,Bruno Major,To Let a Good Thing Die,Easy Listening,2,1,"6/4/20, 9:09 AM","11/10/20, 10:24 AM"
Running Around,2:59,Buddy Ross,Running Around - Single,Instrumental,12,3,"5/11/20, 12:46 PM","9/5/20, 8:59 AM"
You Don't Know My Name,4:27,Alicia Keys,The Diary of Alicia Keys,R&B,4,3,"5/11/20, 12:38 PM","10/12/20, 1:05 PM"
Chicago Freestyle,3:42,Drake,Dark Lane Demo Tapes,Hip Hop/Rap,5,3,"5/11/20, 12:13 PM","10/12/20, 6:11 AM"
Man! I Feel Like A Woman!,3:55,Shania Twain,Come On Over,Country,7,1,"5/11/20, 12:13 PM","11/21/20, 5:50 PM"
I'm Coming Out,3:54,Diana Ross,Diana,Pop,7,6,"5/11/20, 12:12 PM","12/5/20, 7:29 PM"
"You, Dear",3:07,Eloise,This Thing Called Living,Easy Listening,14,3,"5/11/20, 12:11 PM","11/29/20, 4:16 PM"
Mariposa,3:30,Peach Tree Rascals,Mariposa - Single,Indie,19,3,"5/11/20, 12:09 PM","12/13/20, 4:24 PM"
Left Side,2:25,Eloise,This Thing Called Living,Easy Listening,13,3,"5/11/20, 12:08 PM","10/31/20, 2:53 AM"
Butterfly,2:41,UMI,Butterfly - Single,R&B,4,6,"5/11/20, 12:08 PM","10/31/20, 2:47 AM"
When To Say When,3:44,Drake,Dark Lane Demo Tapes,Rap,18,4,"5/11/20, 12:06 PM","11/25/20, 6:36 PM"
Dancing Queen,3:51,ABBA,Arrival,Disco,10,6,"5/11/20, 12:05 PM","11/25/20, 7:55 PM"
Sweet Caroline,3:24,Neil Diamond,Sweet Caroline,Pop,5,1,"5/11/20, 12:04 PM","11/30/20, 5:39 PM"
I Got You,2:27,Bazzi,I Got You - Single,Pop,2,9,"5/11/20, 11:05 AM","10/26/20, 3:36 PM"
Don't Let Me Go,4:23,Cigarettes After Sex,Cry,Easy Listening,1,5,"5/11/20, 11:05 AM","5/12/20, 11:38 AM"
Sweet,4:52,Cigarettes After Sex,Cigarettes After Sex,Easy Listening,3,6,"5/11/20, 11:04 AM","11/1/20, 11:45 AM"
Powerslide,3:10,Ryan Beatty,Boy in Jeans,Alternative,2,5,"5/11/20, 11:03 AM","9/9/20, 11:52 AM"
God in Jeans,2:44,Ryan Beatty,Boy in Jeans,Alternative,1,8,"5/11/20, 11:02 AM","8/15/20, 3:13 PM"
Haircut,3:42,Ryan Beatty,Boy in Jeans,Alternative,8,4,"5/11/20, 11:02 AM","11/16/20, 9:36 PM"
Time After Time,3:56,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Pop,3,3,"5/11/20, 11:00 AM","1/9/21, 12:36 AM"
Perfect Day,3:12,Caro Emerald,,Oldie,7,5,"4/12/20, 12:08 PM","12/8/20, 10:48 AM"
Dear April (Acoustic),3:51,Frank Ocean,Dear April (Side A - Acoustic) - Single,Alternative,8,5,"4/5/20, 1:46 PM","11/30/20, 10:59 PM"
Cayendo (Acoustic),3:22,Frank Ocean,Cayendo (Side A - Acoustic) - Single,Alternative,13,2,"4/5/20, 1:46 PM","10/23/20, 10:59 PM"
The Long Way Home,3:13,Norah Jones,Feels Like Home,Easy Listening,4,6,"3/31/20, 1:25 AM","12/3/20, 9:59 AM"
BEST INTEREST,2:14,"Tyler, The Creator",IGOR,Hip Hop/Rap,7,10,"3/30/20, 5:39 PM","9/16/20, 12:32 PM"
Dear April (Justice Remix),4:12,Frank Ocean,"Dear April 7"" Single",Dance,30,4,"3/29/20, 1:22 PM","11/29/20, 4:41 PM"
24.19,6:07,Childish Gambino,3.15.20,R&B,17,8,"3/28/20, 9:23 PM","10/17/20, 7:02 PM"
South,3:50,Hippo Campus,South - Single,Indie,6,3,"3/28/20, 8:06 PM","11/26/20, 12:40 AM"
Suicide Saturday,3:35,Hippo Campus,Bashful Creatures,Indie,8,5,"3/28/20, 8:06 PM","10/29/20, 6:48 PM"
Way It Goes,4:06,Hippo Campus,Landmark,Indie,,2,"3/28/20, 8:06 PM",
Dollar Bill,4:12,Hippo Campus,South,Indie,6,4,"3/28/20, 8:05 PM","11/26/20, 1:17 AM"
Souls,4:05,Hippo Campus,Bashful Creatures,Indie,6,3,"3/28/20, 8:05 PM","12/8/20, 4:18 PM"
Elephant Boys (Demo),4:34,Hippo Campus,Demos II,Indie,3,3,"3/28/20, 8:05 PM","11/26/20, 1:13 AM"
Words,4:02,Gregory Alan Isakov,This Empty Northern Hemisphere,Folk,7,4,"3/28/20, 5:22 PM","1/8/21, 10:58 PM"
3 a.m.,4:47,Gregory Alan Isakov,"That Sea, The Gambler",Folk,6,1,"3/28/20, 5:18 PM","11/9/20, 5:09 PM"
I Am California ft. Gregory Alan Isakov,5:13,John Craigie,"No Rain, No Rose",Folk,4,5,"3/28/20, 5:17 PM","10/30/20, 11:41 PM"
Babylon ft. Alex G,3:40,Oneohtrix Point Never,Love In The Time of Lexapro,Alternative,5,4,"3/28/20, 5:16 PM","9/11/20, 4:46 PM"
Casino,4:19,Ryan Beatty,Dreaming of David,Alternative,15,1,"3/28/20, 5:15 PM","11/30/20, 10:55 PM"
Cupid,2:55,Ryan Beatty,Boy in Jeans,Alternative,29,5,"3/28/20, 5:13 PM","10/31/20, 8:54 PM"
19.1,5:10,Childish Gambino,3.15.20,Pop,2,8,"3/28/20, 5:07 PM","5/29/20, 4:43 PM"
"Monster ft. Rick Ross, Jay-Z, Nicki Minaj, & Bon Iver",5:00,Kanye West,My Beautiful Dark Twisted Fantasy,Hip Hop/Rap,7,7,"3/28/20, 5:06 PM","9/24/20, 8:11 PM"
Snowchild,4:08,The Weeknd,After Hours,R&B,2,5,"3/28/20, 4:59 PM","11/24/20, 11:51 PM"
Scared To Live,3:12,The Weeknd,After Hours,R&B,16,4,"3/28/20, 4:48 PM","9/28/20, 6:55 PM"
Hardest To Love,3:33,The Weeknd,After Hours,Pop,3,9,"3/28/20, 4:48 PM","9/8/20, 4:09 PM"
Right,4:50,Mac Miller,Circles (Deluxe),R&B,8,6,"3/28/20, 4:28 PM","10/7/20, 11:25 PM"
Semi-Charmed Life,4:28,Third Eye Blind,Third Eye Blind,Rock,6,14,"3/28/20, 4:28 PM","12/8/20, 2:36 PM"
A Seat,4:23,Arin Ray,Phases II - EP,R&B,1,9,"3/28/20, 4:27 PM","8/8/20, 11:42 PM"
3005,3:54,Childish Gambino,Because the Internet,Hip Hop/Rap,9,5,"3/28/20, 4:27 PM","11/16/20, 5:42 PM"
Hair Down ft. Kendrick Lamar,3:38,SiR,Chasing Summer,Hip Hop/Rap,5,2,"3/28/20, 4:25 PM","10/31/20, 1:44 AM"
No Scrubs,3:37,TLC,Fanmail,R&B,7,8,"3/28/20, 4:25 PM","12/15/20, 3:12 PM"
San Luis,4:32,Gregory Alan Isakov,Evening Machines,Folk,12,5,"3/28/20, 4:22 PM","11/14/20, 12:45 AM"
Love You Too Much,4:52,Lucky Daye,Painted,R&B,1,4,"3/28/20, 4:21 PM","10/31/20, 12:58 AM"
Real Games,5:33,Lucky Daye,Painted,R&B,2,7,"3/28/20, 4:20 PM","10/31/20, 3:11 AM"
Buying Time,3:59,Lucky Daye,Buying Time,Alternative,,7,"3/28/20, 4:15 PM",
Down in the Valley,5:04,The Head and the Heart,The Head and the Heart,Folk,3,5,"3/28/20, 4:11 PM","9/6/20, 2:05 PM"
All We Ever Knew,3:46,The Head and the Heart,Signs of Light,Indie,3,9,"3/28/20, 4:09 PM","9/21/20, 1:03 PM"
Cut Me,4:12,Moses Sumney,græ,Alternative,18,7,"3/28/20, 3:53 PM","10/31/20, 3:34 AM"
"Slide ft. Frank Ocean, Migos",3:52,Calvin Harris,Funk Wav Bounces Vol. 1,Pop,6,4,"3/28/20, 3:52 PM","12/6/20, 5:53 PM"
No Right To Love You,3:50,Rhys Lewis,No Right to Love You (Acoustic) - Single,Folk,14,7,"3/28/20, 3:49 PM","11/8/20, 11:52 AM"
Hold On To Happiness,3:39,Rhys Lewis,Hold on To Happiness - Single,Folk,6,7,"3/28/20, 3:48 PM","11/22/20, 2:38 AM"
Goodie Bag,2:28,Still Woozy,Goodie Bag - Single,Alternative,7,9,"3/28/20, 3:47 PM","10/17/20, 10:47 PM"
Young & Alive,2:41,Bazzi,Young & Alive - Single,Pop,14,9,"3/28/20, 3:47 PM","10/18/20, 10:23 PM"
Take It Easy,3:33,Surfaces,Horizons,Pop,9,3,"3/28/20, 3:45 PM","9/24/20, 11:13 AM"
17,2:36,Pink Sweat$,17 - Single,Pop,4,7,"3/28/20, 3:44 PM","8/15/20, 9:39 AM"
Lost In My Mind,4:20,The Head and the Heart,The Head and the Heart,Folk,4,7,"3/28/20, 3:43 PM","9/21/20, 12:46 PM"
Purple Emoji ft. J. Cole,2:44,Ty Dolla $ign,Purple Emoji (feat. J. Cole) - Single,Hip Hop/Rap,11,8,"3/28/20, 3:41 PM","10/9/20, 8:22 PM"
Two 10s,3:38,Quinn XCII,Two 10s - Single,Pop,9,4,"3/28/20, 3:39 PM","10/8/20, 9:46 AM"
Back To Manhattan,4:08,Norah Jones,The Fall,Easy Listening,2,6,"3/28/20, 3:38 PM","8/26/20, 12:13 AM"
